y,m,d,Prec,Ep,Tavg,Tmax,Runoff
1990,2,5,0,0.07,0.2,10.7,0.4772
1990,2,6,0,0.07,-0.2,10.8,0.4794
1990,2,7,0,0.12,1.8,11.3,0.4749
1990,2,8,8.86,0.02,3.9,11.1,0.4727
1990,2,9,3.41,0.57,1,4.5,0.5507
1990,2,10,2.61,0.3,-0.8,6.3,0.4705
1990,2,11,5.41,0.49,-0.7,3.1,0.5351
1990,2,12,7.82,0.46,-1.9,2.1,0.6187
1990,2,13,17.05,0.14,-1.4,1.2,0.66
1990,2,14,57.55,0,3.8,5,2.9019
1990,2,15,27.37,0,3.8,7.7,5.4772
1990,2,16,7.03,0.05,0.1,2.1,3.2642
1990,2,17,0.36,0,2.7,8.5,3.0246
1990,2,18,0,0.17,3.5,13.3,2.2854
1990,2,19,0.02,0.15,4,12.1,1.5998
1990,2,20,0,0.26,4.6,14.5,1.2575
1990,2,21,0,0.31,5.1,13.2,1.0758
1990,2,22,0,0.47,6.5,14.1,0.9543
1990,2,23,0,0.64,5,15.2,0.903
1990,2,24,0,0.8,5.1,15.9,0.8551
1990,2,25,0.04,0.87,5.6,16.7,0.8016
1990,2,26,11.14,0.88,5.8,12.4,0.8317
1990,2,27,22.57,1.86,3.7,8.5,2.9577
1990,2,28,14.22,0.53,1.9,4.4,3.2286
1990,3,1,14.26,0.94,2.3,6.2,3.9075
1990,3,2,12.91,0.38,-2.3,0.5,2.7581
1990,3,3,1.83,0.49,-3,0.3,2.0223
1990,3,4,0,0.51,-2.7,5,1.6488
1990,3,5,0,0.43,0.1,8.4,1.4326
1990,3,6,0,0.54,2.5,7.8,1.233
1990,3,7,0,0.55,4.3,11.4,1.1081
1990,3,8,0,0.51,4.3,14.5,1.0346
1990,3,9,1.26,0.77,5.6,11,0.9733
1990,3,10,0.61,0.52,5.7,9,0.9465
1990,3,11,0.01,1.22,6.9,16.8,0.864
1990,3,12,0.41,0.77,7.5,14.8,0.8584
1990,3,13,0.04,1.43,7.5,14.6,0.8551
1990,3,14,12.21,0.38,5.5,9.1,1.1862
1990,3,15,0,1.25,7,11.9,1.0123
1990,3,16,0,1.47,6.2,14.1,0.9052
1990,3,17,0,1.62,6.5,14.6,0.8384
1990,3,18,0.05,1.79,7.5,15.2,0.7692
1990,3,19,0,1.75,7.1,14.5,0.6667
1990,3,20,0.67,1.95,7.9,15.8,0.718
1990,3,21,0.01,2.43,10.9,18.8,0.7559
1990,3,22,2.44,2.38,11.9,20.4,0.6689
1990,3,23,19.23,0.88,6.8,10.1,1.8462
1990,3,24,0.04,1.84,7.1,13.8,1.1093
1990,3,25,9.12,1.35,2.9,5.6,1.0112
1990,3,26,7.29,0.77,0,2.8,1.2196
1990,3,27,6.9,0.9,0.7,3.5,1.2263
1990,3,28,6.18,0.42,1.1,2.9,2.2096
1990,3,29,3.99,0.6,2.1,4.4,1.5385
1990,3,30,0.76,0.82,4.8,8.4,1.3701
1990,3,31,0,1.64,5.1,12.9,1.5039
1990,4,1,0,2.16,7.5,17.2,1.5151
1990,4,2,0.18,2.46,8.1,15.9,1.2865
1990,4,3,9.08,1.82,6.8,14.5,1.0747
1990,4,4,1.79,1.63,3.8,6.7,1.0223
1990,4,5,4.69,0.77,3.4,5.5,0.8707
1990,4,6,1.12,1.28,5.2,10.4,0.8205
1990,4,7,13.1,0.79,4.1,6.8,1.0335
1990,4,8,3.63,1.14,2.9,5,1.2007
1990,4,9,7.33,1.07,2.4,5.7,1.0078
1990,4,10,3.23,1.35,2.4,5.6,0.9599
1990,4,11,15.05,0.99,2.1,5.4,2.2876
1990,4,12,10.18,1.08,2.7,5.7,2.8295
1990,4,13,0,1.65,4.7,12.1,1.9142
1990,4,14,5.68,1.24,3.5,10.5,1.728
1990,4,15,7.88,1.01,2.2,8.4,1.7782
1990,4,16,2.48,1.97,2.8,7.5,1.7949
1990,4,17,3.25,2.12,3.6,9.3,1.437
1990,4,18,15.35,0.69,2,3.7,2.5407
1990,4,19,3.86,0.93,2.9,5.8,1.9811
1990,4,20,0.58,1.83,5,10.4,1.6132
1990,4,21,1.24,1.97,5.3,10.8,1.7135
1990,4,22,2.64,2.45,6.3,13,1.4471
1990,4,23,11.1,1.43,4.9,8.3,1.6422
1990,4,24,4.58,2.1,6,11.1,2.4627
1990,4,25,5.13,2.34,6.3,11.6,2.2397
1990,4,26,4.42,2.61,6.6,11.5,1.8963
1990,4,27,6.34,1.71,6.8,11.4,1.5162
1990,4,28,5.26,2.19,7.5,10.2,1.5351
1990,4,29,0.24,3.01,9,14.6,1.2375
1990,4,30,0.03,3.21,10.3,16.7,1.0702
1990,5,1,0.02,3.46,12.1,18.9,1.029
1990,5,2,0.03,3.65,13.4,20.5,0.9967
1990,5,3,0.28,3.52,13.1,19.6,0.9432
1990,5,4,0.07,3.53,12.7,19.3,0.8997
1990,5,5,1.8,3.18,12.4,19.1,0.874
1990,5,6,3.79,3.08,11.9,18,0.8818
1990,5,7,2.65,3.12,11.4,17.2,0.9097
1990,5,8,2.8,3.06,11.6,17.2,0.8807
1990,5,9,2.13,3.49,12.5,18.4,0.9086
1990,5,10,3.61,3.8,13.2,20.3,1.0948
1990,5,11,11.52,1.79,10.7,13.6,1.184
1990,5,12,2.48,3.19,11.7,16.3,1.4125
1990,5,13,5.22,3.12,12.6,18.1,0.8919
1990,5,14,2.87,2.68,13.1,16.7,1.0022
1990,5,15,2.99,3.19,13.7,18.8,1.2118
1990,5,16,0.25,3.53,15,20,1.2888
1990,5,17,1.23,3.26,15.4,19.6,1.0602
1990,5,18,1.77,2.16,14,16.6,1.0134
1990,5,19,0.22,3.61,14.3,19.5,0.9521
1990,5,20,0.7,3.53,14.5,19.4,0.9097
1990,5,21,5.29,2.23,12.8,16,1.0647
1990,5,22,0.31,3.7,14.1,18.9,0.9911
1990,5,23,1.32,3.25,14.8,19.8,0.9565
1990,5,24,10,2.45,13.9,17.4,0.9677
1990,5,25,28.53,1.48,10.5,12.6,11.2376
1990,5,26,0.29,2.51,10.4,13.6,3.4671
1990,5,27,0.44,3.66,11.6,14.8,1.7692
1990,5,28,2.77,3.57,9.9,13.8,1.34
1990,5,29,1.3,3.75,8.5,12.1,1.1561
1990,5,30,0,4.23,10.2,15.8,0.9275
1990,5,31,0,4.34,11.7,17.7,0.8361
1990,6,1,0,4.56,14,20.5,0.7637
1990,6,2,12.63,2.21,12,17.6,0.8484
1990,6,3,3.49,2.99,11.1,15.4,0.7391
1990,6,4,10.05,1.39,11.4,13.9,1.0022
1990,6,5,19.95,2.79,12.5,17.1,0.9487
1990,6,6,18.77,1.47,11.1,13.7,5.7035
1990,6,7,7.93,1.5,11.6,15.9,2.4493
1990,6,8,18.71,1.75,9.4,13.2,5.8217
1990,6,9,4.35,3.16,8.8,13.6,4.378
1990,6,10,11.33,2.87,8.3,12.3,4.8373
1990,6,11,1.45,2.67,11.6,16.1,4.0469
1990,6,12,17.46,1.14,10.8,14,2.6656
1990,6,13,15.56,1.05,10.2,11.4,9.0291
1990,6,14,0.8,2.9,11.4,15.2,3.4683
1990,6,15,2.74,3.02,12,15.5,2.1728
1990,6,16,0.43,3.11,12.8,16.5,1.747
1990,6,17,0,4.05,14.7,20.1,1.3846
1990,6,18,6.85,2.38,13.8,17.4,1.1906
1990,6,19,0.03,4.56,16.8,23.5,1.0814
1990,6,20,19,3.42,16.1,22.1,1.019
1990,6,21,4.21,4.11,14.2,18.7,1.5864
1990,6,22,10.97,1.73,13.3,17.4,1.3189
1990,6,23,5.88,1.56,12,13.9,1.5742
1990,6,24,0.35,2.44,13.8,18.3,1.2999
1990,6,25,0,4.43,17.1,22.7,1.1293
1990,6,26,0.21,4.25,18.8,25.1,1.0669
1990,6,27,6.82,3.77,19.2,24.7,1.0636
1990,6,28,3.86,2.44,17.4,20.7,1.8685
1990,6,29,0.87,4.45,19.1,25.9,1.2899
1990,6,30,0.48,4.61,20.2,27.1,1.3991
1990,7,1,31.34,2.75,14.8,16.8,4.1829
1990,7,2,0.49,2.59,14.1,16,2.0747
1990,7,3,23.77,2.06,12.5,16.3,2.2319
1990,7,4,6.67,3.13,12.4,16.2,11.3992
1990,7,5,14.46,1.47,13.9,19,4.6689
1990,7,6,7.71,3.21,11,14.4,4.66
1990,7,7,10.13,2.29,10.9,14.9,2.8685
1990,7,8,10.32,1.24,13.9,17.8,15.3602
1990,7,9,8.25,3.68,17.2,23.3,4.9766
1990,7,10,13.35,2.32,12.3,15.5,6.4672
1990,7,11,0.08,3.76,12.8,16.9,4.0368
1990,7,12,0,4.34,15,21,2.971
1990,7,13,0.04,4.23,17.5,23.1,2.5296
1990,7,14,0.27,4.14,17.4,21.9,2.2676
1990,7,15,0,4.49,17.8,22.9,2.0859
1990,7,16,0,4.19,18.3,24.4,1.9755
1990,7,17,20.74,3.03,16.9,22.2,2.1962
1990,7,18,0.29,3.59,14.6,17.9,2.2386
1990,7,19,0,3.89,15.1,19.1,1.9365
1990,7,20,0,4.42,16.4,21.6,1.9086
1990,7,21,0,4.78,18.8,25.2,1.8317
1990,7,22,0,4.75,19.8,25.6,1.8517
1990,7,23,0.53,3.44,19,22.2,1.8952
1990,7,24,0.01,3.46,17.1,20.6,1.9119
1990,7,25,0.08,4,16.8,20.9,1.9354
1990,7,26,0.04,4.15,17.3,23,1.9487
1990,7,27,0,4.27,18.5,24.7,2.0179
1990,7,28,0,4.63,20.8,28.1,1.8696
1990,7,29,6.12,4.13,20.5,25.7,1.592
1990,7,30,13.88,2.56,17.9,21.5,1.7882
1990,7,31,12.31,2.42,17.8,20.5,1.7113
1990,8,1,1.17,3.54,18.6,23.2,1.5775
1990,8,2,0.09,4.28,20.1,26,1.5362
1990,8,3,0.07,4.18,20,25.2,1.4047
1990,8,4,0,4.27,19.8,25.1,1.2308
1990,8,5,0,4.48,20.5,27.2,1.0881
1990,8,6,25.58,2.24,16.4,19.7,3.6801
1990,8,7,5.72,2.55,12.8,15,2.0602
1990,8,8,0.41,3.31,14.2,17.2,1.2776
1990,8,9,0,3.93,14.5,19.6,1.0546
1990,8,10,0,4.12,15.8,22,0.9287
1990,8,11,0.12,4.11,17.8,24,0.8194
1990,8,12,0.33,4.16,18.5,25.6,0.7648
1990,8,13,0.32,4.08,19.8,26.6,1.2286
1990,8,14,4.3,2.68,17.2,20.9,1.6767
1990,8,15,0.81,2.93,16.3,20.5,1.3278
1990,8,16,6.3,3.58,17.3,23,1.0112
1990,8,17,22.4,2.1,12.9,14.7,3.495
1990,8,18,0,3.35,13.7,18.5,1.4961
1990,8,19,0.01,3.43,16,21.5,1.019
1990,8,20,2.51,3.52,17.9,24.5,0.8506
1990,8,21,7.12,2.2,13.7,15.4,0.8038
1990,8,22,0.19,2.13,13.3,16,0.7358
1990,8,23,0,3.45,14.9,20.6,0.7012
1990,8,24,0,3.73,17.5,24.9,0.709
1990,8,25,15.07,2.79,17.6,23.2,0.9275
1990,8,26,12.44,1.94,16.4,18.5,1.8216
1990,8,27,2.56,2.93,16.9,21.6,0.9298
1990,8,28,1.3,3.29,17,22.7,0.8116
1990,8,29,0.88,3.41,17.5,24.3,0.854
1990,8,30,0.41,3.27,18,23.3,0.7603
1990,8,31,6.43,1.38,13,17.2,1.0925
1990,9,1,0.71,1.48,11,12.7,0.9331
1990,9,2,0.03,2.55,13.6,16.9,0.718
1990,9,3,2.27,0.54,11.8,13.9,0.8584
1990,9,4,18.39,2.52,14.8,18.8,1.1661
1990,9,5,10.91,2.53,12.5,14.3,4.7827
1990,9,6,0.04,2.53,13.3,17.8,1.6656
1990,9,7,15.44,1.48,10.1,13,2.0792
1990,9,8,4.73,1.89,9.8,13.4,1.9454
1990,9,9,0.01,2.52,10.8,16.4,1.2999
1990,9,10,2.97,1.98,11.5,15.2,1.0658
1990,9,11,7.55,2.09,10.2,12.6,1.4493
1990,9,12,0.09,2.19,10.5,15.2,1.0937
1990,9,13,0,2.61,11.2,17.1,0.9387
1990,9,14,0,2.52,12.8,19.7,0.9175
1990,9,15,11.78,1.32,12.6,16.2,0.9487
1990,9,16,0.34,1.93,12.1,15.6,0.8005
1990,9,17,9.38,2.17,11.8,17.8,0.7458
1990,9,18,4.19,1.38,9.9,12.4,0.8071
1990,9,19,0,2.46,13.3,20.5,0.8149
1990,9,20,4.2,1.71,13.3,16.3,0.7893
1990,9,21,3.83,1.23,11.4,14.2,0.8016
1990,9,22,10.04,1.5,12.9,17.1,0.7391
1990,9,23,35.31,1.13,13.4,16.9,13.7448
1990,9,24,11.12,2.22,10.5,12.2,6.786
1990,9,25,0,2.03,10.2,14.8,2.5329
1990,9,26,0.2,1.46,10.2,13.9,1.6054
1990,9,27,2.82,1.51,9.6,11.6,1.2063
1990,9,28,0.02,1.87,9.8,14.8,1.0245
1990,9,29,0,2.07,11.9,20.2,0.9186
1990,9,30,0.33,1.62,14.9,21.6,0.8239
1990,10,1,22.02,1.85,14.9,20.7,0.9855
1990,10,2,1.67,1.57,14,17.4,2.281
1990,10,3,0.06,1.95,14.3,20.8,1.2564
1990,10,4,24.74,0.53,10.3,13.7,3.4226
1990,10,5,0.71,1.06,8.2,10.7,2.7838
1990,10,6,0,1.74,11.1,18.4,1.4805
1990,10,7,5.54,1.45,10.9,16.3,1.1126
1990,10,8,9.08,1.4,7.3,10.1,1.485
1990,10,9,0,1.52,7.6,13.2,1.1015
1990,10,10,0,1.53,9.1,16.2,0.9298
1990,10,11,0,1.64,10.9,19.7,0.8417
1990,10,12,0,1.87,14,23.2,0.7726
1990,10,13,0,1.78,14.3,21.8,0.6678
1990,10,14,0,1.63,13.6,21.1,0.6109
1990,10,15,0,1.78,14.4,22.5,0.6087
1990,10,16,1.18,1.29,14.7,20.3,0.602
1990,10,17,1.89,1.06,13.6,18.2,0.6076
1990,10,18,1.2,1.22,12.3,15.7,0.5797
1990,10,19,0,1.4,11.3,17,0.5719
1990,10,20,3.59,0.5,9.5,11.3,0.5429
1990,10,21,1.11,0.87,9,12.6,0.4783
1990,10,22,0,0.98,8.2,12.9,0.4883
1990,10,23,0,1.2,8.1,14.4,0.5162
1990,10,24,0,1.06,8,13.4,0.5162
1990,10,25,0.44,0.98,7.8,13.6,0.4939
1990,10,26,7,1.19,9.6,14.8,0.4727
1990,10,27,8.81,0.83,5.2,7.6,0.7436
1990,10,28,0.41,1.23,6.1,13.3,0.5095
1990,10,29,16.12,0.92,6.9,8.7,0.8127
1990,10,30,7.41,1.39,6.3,8.6,5.0413
1990,10,31,11.08,0.45,5.9,8,3.9298
1990,11,1,2.05,1.17,5.6,8.8,3.2052
1990,11,2,2.53,0.94,3.5,7.7,2.0379
1990,11,3,12.31,0.41,1.6,3.2,1.5585
1990,11,4,7.41,0.5,0.6,3.1,1.349
1990,11,5,13.18,0.16,-0.6,2.1,1.9376
1990,11,6,0.2,0.35,-2.9,1.3,1.8919
1990,11,7,0,0.43,-3.9,2.6,1.2754
1990,11,8,0,0.37,-3,4.8,1.1494
1990,11,9,0,0.38,-1.7,7,1.1739
1990,11,10,0,0.46,-0.6,8.7,1.262
1990,11,11,14.7,0.28,3.6,8.6,3.1784
1990,11,12,1.04,0.33,5,8.2,4.4794
1990,11,13,0.1,0.59,3.4,9.4,2.4604
1990,11,14,10.14,0.15,5.4,6.9,3.1728
1990,11,15,15.38,0.12,4.4,5.9,5.504
1990,11,16,0.25,0.64,3.9,8.4,4.3501
1990,11,17,0.64,0.4,6.7,11.8,2.9766
1990,11,18,8.26,0.86,6.9,9.9,2.2598
1990,11,19,11.03,0.57,4.4,5.7,1.8127
1990,11,20,2.27,0.65,6.1,11.7,1.65
1990,11,21,12.65,0.42,3.7,5.9,1.8729
1990,11,22,12.99,0.48,0.5,1.6,2.0089
1990,11,23,3.21,0.19,-0.4,1.6,2.6645
1990,11,24,0,0.27,-1.3,4.7,1.9822
1990,11,25,6.41,0.06,0,4.5,1.7113
1990,11,26,2.36,0.17,1.1,6.6,1.7782
1990,11,27,3.95,0.17,-0.4,2.2,1.6578
1990,11,28,2.34,0.12,0.2,1.7,1.7659
1990,11,29,0.89,0.15,-0.8,1.7,1.6466
1990,11,30,6.57,0.16,-2,0.4,1.5663
1990,12,1,0.32,0.25,-6.1,-3.4,1.4114
1990,12,2,0.12,0.25,-5.5,-0.5,1.2464
1990,12,3,0.05,0.21,-3.2,-0.3,1.2252
1990,12,4,0.87,0.15,-3.3,0.1,1.1762
1990,12,5,10.86,0.11,-2.8,-1.7,1.1661
1990,12,6,0.06,0.15,-6.5,-3,1.0747
1990,12,7,0,0.13,-13.2,-2,1.0089
1990,12,8,0,0.13,-11.1,0.5,0.9554
1990,12,9,2.57,0.03,-3.3,3.1,0.9253
1990,12,10,12.63,0.04,-2.8,-1.3,0.9264
1990,12,11,0.04,0.05,-4.8,-1.3,0.9008
1990,12,12,15.3,0,-5.6,-2.1,0.8785
1990,12,13,5.46,0.05,-4.4,-2,0.9119
1990,12,14,1.1,0.07,-5,-2.8,0.8462
1990,12,15,4.57,0.03,-4.5,-3.1,0.7982
1990,12,16,0.51,0.05,-6.7,-4.4,0.7447
1990,12,17,0.08,0.06,-9.2,-3.6,0.7503
1990,12,18,0,0.02,-12.5,-3,0.7492
1990,12,19,3.92,0.04,-5.8,0.7,0.7403
1990,12,20,0.95,0.1,-5.4,-1.7,0.6566
1990,12,21,11.59,0,-4.4,-1.6,0.6511
1990,12,22,1.28,0.03,0.6,4.1,0.8506
1990,12,23,0,0.15,-0.5,4.6,0.8963
1990,12,24,0,0.1,-3.9,3.9,0.864
1990,12,25,0,0.04,-5.4,2.8,0.8272
1990,12,26,3.09,0.05,-2,2.6,0.8194
1990,12,27,12.54,0.16,0.9,2.1,3.0513
1990,12,28,0.44,0.24,-4.4,-0.1,2.5195
1990,12,29,1.75,0.17,1.6,4.5,1.9554
1990,12,30,1.24,0.08,2.8,8.6,2.6366
1990,12,31,7.31,0,3.1,6.9,3.4471
1991,1,1,12.11,0,0.8,3.4,5.1394
1991,1,2,10.14,0.09,-0.1,3,4.174
1991,1,3,1.34,0,4.1,11,7.9165
1991,1,4,7.13,0,0.9,6.6,3.4894
1991,1,5,1.57,0.27,-0.1,2.2,2.3345
1991,1,6,5.19,0.15,0.3,3.9,1.9153
1991,1,7,12.31,0.11,1.5,2.9,3.194
1991,1,8,0.06,0.06,0.3,7.4,3.0714
1991,1,9,0.07,0.12,-1.3,4,2.136
1991,1,10,0.12,0.28,2.2,6.2,1.7336
1991,1,11,6.04,0.02,4.6,8.9,1.7001
1991,1,12,9.06,0,2.5,5.1,2.4471
1991,1,13,11.87,0.04,-0.2,0.7,3.8072
1991,1,14,0.42,0.22,-1.9,0.8,2.8317
1991,1,15,0,0.1,-3.9,3,1.9733
1991,1,16,0,0.09,-6.9,1.3,1.6611
1991,1,17,0,0.08,-8.1,1.7,1.4705
1991,1,18,0,0.07,-10.2,1.1,1.2876
1991,1,19,0.48,0.04,-7.3,2.7,1.1661
1991,1,20,0.28,0.13,-4.1,0.7,1.0859
1991,1,21,1.21,0.11,-4.8,0.7,1.0156
1991,1,22,0.18,0.13,-3.1,1.1,0.9877
1991,1,23,0,0.13,-7.1,-0.8,0.9231
1991,1,24,0,0.13,-9,-0.8,0.8573
1991,1,25,0,0.08,-8.8,0.9,0.8071
1991,1,26,0,0.1,-6.9,1.9,0.7614
1991,1,27,0,0.07,-7.1,-1.8,0.7113
1991,1,28,0.11,0.07,-6,0.1,0.6856
1991,1,29,0,0.07,-8.1,1.8,0.689
1991,1,30,0,0.03,-8.4,0.2,0.6778
1991,1,31,0,0.04,-8.9,-1.5,0.6522
1991,2,1,0,0.05,-9.5,-1.2,0.6232
1991,2,2,0,0.07,-8.6,1.6,0.5976
1991,2,3,0,0.06,-7,1.9,0.5374
1991,2,4,0.49,0.04,-5.2,-0.1,0.5374
1991,2,5,1.3,0.2,-7.8,-5.7,0.553
1991,2,6,0.73,0.18,-10.8,-8,0.5574
1991,2,7,0.09,0.06,-12.4,-5.6,0.5608
1991,2,8,1.4,0.13,-6.8,-1.7,0.5563
1991,2,9,0.51,0.15,-4.8,1.7,0.5195
1991,2,10,7.83,0.26,-2.2,4.1,0.4883
1991,2,11,0.34,0.25,-7,-2.4,0.4928
1991,2,12,1.9,0.08,-9.4,-3.7,0.5418
1991,2,13,1.86,0.1,-7.8,-4.3,0.5407
1991,2,14,2.43,0.09,-9.2,-3.7,0.4961
1991,2,15,4.64,0.2,-6.4,-2.4,0.524
1991,2,16,12.95,0,-2,0.3,0.5251
1991,2,17,0,0.11,-4.3,3.4,0.4537
1991,2,18,0,0.05,-2.2,4.9,0.4348
1991,2,19,0,0.03,-0.7,7.8,0.4593
1991,2,20,0,0.12,-0.9,7.6,0.4504
1991,2,21,0,0.1,-1.2,6.8,0.4549
1991,2,22,1.74,0,-1.3,3.4,0.4638
1991,2,23,0.05,0.03,-0.7,6.3,0.4381
1991,2,24,0,0,3.6,13.5,0.4292
1991,2,25,0,0,4.4,13.5,0.534
1991,2,26,0,0,4.1,12.9,0.5842
1991,2,27,0,0.03,3.8,11.1,0.5753
1991,2,28,0.51,0,2.5,6.8,0.5507
1991,3,1,0,0.17,3.1,9.6,0.5641
1991,3,2,0,0.26,3.3,9.8,0.5385
1991,3,3,1.52,0.01,4.1,7.9,0.6444
1991,3,4,0,0.28,4.4,12.7,0.5976
1991,3,5,0,0.29,5.8,14,0.5875
1991,3,6,0,0.58,5.2,10.7,0.6176
1991,3,7,0,0.34,5.7,12.7,0.66
1991,3,8,0.09,0.1,7.2,14.9,0.6477
1991,3,9,11.72,0,4.4,8.1,0.6801
1991,3,10,2.24,0.24,5,7.9,0.8673
1991,3,11,0.37,0.52,4.4,10,0.6444
1991,3,12,0,0.8,4.5,10.8,0.5886
1991,3,13,0,0.58,4.2,10.8,0.5474
1991,3,14,0,0.74,4.9,12.3,0.5084
1991,3,15,0,0.95,5.6,12.7,0.4705
1991,3,16,0,1.1,5.8,14.5,0.4727
1991,3,17,2.61,1.07,6.1,13.8,0.4537
1991,3,18,5.4,0.88,6.3,9.3,0.4861
1991,3,19,6.31,1.13,6.2,11.9,0.5452
1991,3,20,10.19,1.08,8,12.2,1.8629
1991,3,21,0.01,1.39,8.9,15.5,1.0524
1991,3,22,21.05,0.5,4.9,8.1,2.6355
1991,3,23,2.62,0.79,4.7,8.1,2.8361
1991,3,24,0.14,1.3,7.4,14.2,1.6868
1991,3,25,1.24,1.01,7,12.4,1.2899
1991,3,26,13.67,0.39,5.6,7.1,1.4236
1991,3,27,5.28,0.59,3.3,4.7,3.3111
1991,3,28,2.17,1.57,1.3,4.8,2.2977
1991,3,29,0.47,1.22,-0.2,3.2,1.5764
1991,3,30,0.02,0.95,0.5,4.6,1.2352
1991,3,31,0,1.24,3.4,7.7,1.0424
1991,4,1,0,1.74,5.2,11.3,0.9443
1991,4,2,0,1.64,6.7,13.6,0.8963
1991,4,3,3.92,1.67,8.6,14.3,0.8395
1991,4,4,6.57,1.02,6.9,9.6,1.0413
1991,4,5,19.39,1.25,4.4,6.3,2.1851
1991,4,6,5.7,1.37,5.1,8.6,4.9744
1991,4,7,2.39,1.22,4.9,9.9,2.6366
1991,4,8,2.38,1.73,5.7,9.3,1.8261
1991,4,9,0.03,1.84,7,11.8,1.4381
1991,4,10,0,2.5,8.3,15.1,1.2687
1991,4,11,0,2.83,8.6,15.2,1.1115
1991,4,12,0.15,2.72,8.4,14.9,0.9989
1991,4,13,0.86,2.43,8,14.1,0.9264
1991,4,14,2.9,2.49,7.2,13.8,0.8228
1991,4,15,0.28,2.86,8.7,15.7,0.7915
1991,4,16,1.57,2.88,8.9,15.1,0.786
1991,4,17,6.82,1.59,0.4,2.4,0.9209
1991,4,18,7.5,0.95,-0.6,2.6,0.8573
1991,4,19,3.02,1.24,-1.4,2.7,0.8618
1991,4,20,1.85,1.38,-2.1,3.7,0.7726
1991,4,21,1.76,1.45,0.4,3.4,0.6856
1991,4,22,0.25,1.91,2,6.4,0.6801
1991,4,23,12.72,1,1.1,4.3,0.8428
1991,4,24,1.7,1.56,0.5,4.8,0.7793
1991,4,25,0.26,2.09,2,8.7,0.7258
1991,4,26,0.35,2.12,5.1,11.7,0.7246
1991,4,27,3.84,2.31,5.7,12,0.7648
1991,4,28,6.83,1.8,6,10.5,0.7692
1991,4,29,7.56,1.99,6.6,10.2,1.4783
1991,4,30,5.16,1.48,6.6,10.3,1.1416
1991,5,1,11.09,2.38,7.7,12.9,1.7079
1991,5,2,9.72,1.33,4.7,5.8,3.4939
1991,5,3,6.73,1.41,3.7,6.1,3.3858
1991,5,4,6.92,1.79,2.7,5.5,3.0591
1991,5,5,4.6,1.91,4,7.1,2.7994
1991,5,6,12.77,0.75,3.6,5.9,2.6332
1991,5,7,5.26,1.38,5.2,8.9,2.5809
1991,5,8,1.86,2.65,6.4,12.6,2.1617
1991,5,9,4.04,2.93,7.5,14.3,1.7704
1991,5,10,8.63,2.52,8.7,12.9,1.631
1991,5,11,49.64,0.72,6.9,8.8,10.8106
1991,5,12,19.78,2.05,7.1,9.7,24.9133
1991,5,13,0.78,2.14,8.5,12.2,6.5976
1991,5,14,9.44,2.32,8.8,14.8,3.8685
1991,5,15,9.61,2.17,5.9,7.9,4.4426
1991,5,16,12.95,1.52,3,5.8,4.4315
1991,5,17,10.55,1.89,3.7,7.4,3.8986
1991,5,18,7.3,2.2,5.5,8.9,5.5564
1991,5,19,0.98,2.7,6.9,10.8,4.4371
1991,5,20,0.76,2.18,8.4,12.9,3.0268
1991,5,21,0,3.53,11.2,17.7,2.4237
1991,5,22,0.39,3.29,14.2,19.4,2.0881
1991,5,23,2.01,2.77,10.6,13.6,1.728
1991,5,24,1.81,2.79,6.7,9.5,1.4315
1991,5,25,0.28,2.88,8.5,12.1,1.2308
1991,5,26,11.89,1.77,8.1,11.7,1.67
1991,5,27,0.02,3.89,9.5,14.2,1.3634
1991,5,28,0,4.01,10.9,16.9,1.1304
1991,5,29,0.15,3.83,11.8,16.8,1.0156
1991,5,30,0.2,3.66,12.6,17.3,0.9565
1991,5,31,0.02,4.03,13.8,18.8,0.883
1991,6,1,0.11,4,14.6,20.2,0.8629
1991,6,2,1.66,3.44,14.2,18.7,0.8673
1991,6,3,12.63,2.52,11.8,14.9,1.5663
1991,6,4,6.87,2.32,8.6,11.7,1.0959
1991,6,5,0.73,3.06,9.2,13.3,0.9532
1991,6,6,12.7,2.68,10.6,15.2,1.1081
1991,6,7,4.13,2.14,10.9,14.6,1.0257
1991,6,8,13.7,1.5,10.7,13.6,2.0769
1991,6,9,5.55,1.84,12.6,16.4,1.6355
1991,6,10,10.66,1.28,12.4,13.8,4.1528
1991,6,11,1.08,3.13,12.9,15.9,2.068
1991,6,12,0.05,4.37,15.8,22.6,1.485
1991,6,13,13.06,1.98,15.1,17.9,1.5931
1991,6,14,1.86,2.82,13.9,17.3,2.4694
1991,6,15,0.05,4.13,17.7,22.9,1.602
1991,6,16,50.81,1.01,14.2,15.9,8.1628
1991,6,17,61.85,1.01,8.2,11.7,42.132
1991,6,18,12.67,2.5,8.1,12.1,24.6469
1991,6,19,0.29,3.11,9.6,14.1,8.3256
1991,6,20,10.09,2.26,11.2,16.7,4.9922
1991,6,21,1.74,3.44,14.2,19.4,3.7358
1991,6,22,0.26,4.54,18.1,24.4,2.9298
1991,6,23,3.11,4.01,18.4,22.6,2.7347
1991,6,24,4.79,3.91,18,22.3,2.1617
1991,6,25,0.12,4,19,23.6,1.971
1991,6,26,10.28,3.34,17.8,23.6,2.3891
1991,6,27,19.03,2.55,12.4,15.7,6.7883
1991,6,28,9.54,3.28,9.7,12.9,5.1751
1991,6,29,6.51,3.21,10.1,13.7,7.5698
1991,6,30,0,4.28,13.1,18.6,3.8796
1991,7,1,0,4.89,16.2,22.6,2.5664
