P,E,Pr,RUNOFF
0,1.3,0.103602902264864,0.680067071551328
0,0.6,0.101973969992463,0.644030119981314
1.59,0.6,0.594487659159351,0.624289708932161
1.44,0.5,0.571785485584325,0.646417191180869
0,0.9,0.101944166208111,0.640174923078416
0,0.8,0.0999133588506986,0.581892766326889
0,1.6,0.0962526766308789,0.539064440283875
0,1.1,0.0937326893729281,0.511988189753512
0,0.9,0.091675841079439,0.487915021079301
0,1.5,0.088508347030774,0.46593541447733
0.05,1.2,0.0861021574125924,0.445686119713696
0.59,0.4,0.177160601503483,0.429392419155812
1.15,0.9,0.206042850470481,0.422195203964782
2.1,0.2,1.00241261451168,0.435520720841913
0.03,0.2,0.0880271375263832,0.482756887562647
0,2.7,0.0827973422571529,0.438091526403378
0,1.6,0.0797624323980667,0.396149978035961
0,2,0.0761689890597771,0.379861109021844
0,1.3,0.0738595796859751,0.365806583561053
0,1,0.0720935806206831,0.352726334575321
1.02,0.3,0.406122624625881,0.3483921577527
2.1,0.6,0.771446255699213,0.376828292046904
0.01,0.6,0.0733246590638435,0.405885737440126
0,1.2,0.0712580594716464,0.365746002382821
0,1.7,0.0684922554816008,0.334052224048643
0,1,0.0668567704634321,0.322072924901769
0.34,1.4,0.0651745371115126,0.311718775458414
0,1.5,0.0629197196739384,0.301970679086056
0,0.8,0.0616918337653666,0.292732482909954
0.05,0.9,0.060421528359741,0.284042212665812
0,1.2,0.0587197205130381,0.275834173889138
0,1.2,0.0570658308448474,0.268016677753849
0,0.8,0.0559549658525724,0.260583144835784
1.62,0.6,0.506213965832168,0.263156652610127
4.95,1.4,1.63943808453079,0.319779973925628
0.86,0.6,0.176783721244253,0.40885705701561
7.28,0.8,3.00700912010496,0.419823450485915
13.04,0.9,5.77977712114987,0.718331855229232
14.25,0.9,6.61686520892407,1.30288960152043
29.72,0.4,15.447132816043,2.35239923795331
24.55,0.6,13.4650690040184,5.22637162738085
23.25,0,13.7738217591741,8.01360887078487
0.21,0.6,0.24256548778998,8.80239625813001
8.53,0.5,5.03729948873754,5.82433195478228
1.43,0,1.11854333089579,5.10096677305927
0.02,0.4,0.259079698919508,3.88576257413411
0,0.6,0.254410070384784,2.92536460070604
0,0.5,0.250343541698967,2.36869668668516
6.17,0.6,3.58620942728616,2.17636871380487
1.71,1.5,0.387141427097487,2.38219437148395
1.14,0.8,0.464024697810572,2.00344060337156
0.05,1,0.254197745388978,1.69014236344351
8.53,0.5,5.09286770391959,1.70372442997945
9.57,1.1,5.44956580208378,2.44732693077761
0.6,0.5,0.352270752775566,2.8275990779192
0.64,1,0.287094372850111,2.1954245791438
6.68,0.3,4.21599437297764,1.96410573132943
6.25,0.8,3.68784526710953,2.46624192287613
0.85,0.7,0.405806844039946,2.57288771882263
0,1.5,0.301474099578078,2.05656710137002
0,1.5,0.290635606431421,1.70305351889946
0.14,0.4,0.287190231697374,1.50132863852397
0.03,2.7,0.270533183296799,1.34668886419928
14.07,1.8,7.79221939140662,1.53510792743107
16.79,1.7,9.76985714722065,2.92626513616889
35.25,1.1,22.6978053190208,5.71424881251073
22.4,2.1,14.1879254027078,11.7229350017128
1.05,0.7,0.733270461898981,11.2560146760199
0.85,0.7,0.592428793462682,6.49738060480727
6.68,0.7,4.57756144310517,4.67884041938293
4.34,1.9,2.17471747395723,4.56103558760947
24.55,0.1,17.5931136813588,5.14854925584147
5.71,1,3.91312980224344,8.53026031889482
17.93,0.6,13.0044146611416,7.66039341841653
0,1.7,0.621817592537763,8.40653521296617
0.05,1.1,0.602418058320945,5.45567737890878
0.04,0.7,0.587975230762934,3.82239007150002
0.03,2.7,0.553028800709347,3.03578715651349
0.11,2,0.527907855739938,2.52218960418413
0.07,1.2,0.51126979288402,2.1575187182236
4.51,0.5,3.26795592907182,2.02856123017146
0.02,2.1,0.494087437793239,2.20063490442784
7.85,2.9,3.87815930060015,2.05187042822769
7.65,1.4,4.80285570918053,2.48107253375195
11.14,2,6.85949164299676,3.1549226559005
0.92,0,1.18077884505206,3.68733596478953
2.04,0.1,1.8876673361474,3.0263472806271
0.9,0.4,0.885626828153651,2.6356858251961
0.06,1.1,0.52340389538511,2.2650405477599
23.62,3.8,14.3999287079287,2.69843089982535
2.95,1.5,1.60256549122839,5.03221929455974
6.09,2,3.46880623329151,4.14224007405708
7.46,0.8,5.31371007496731,3.9082991457009
22.72,1.6,15.8292094973388,5.20046291041365
0.72,0.9,0.664563028759448,7.66255896288831
0.2,0.7,0.649970917063097,5.11446854614931
0.01,2.1,0.617607053825683,3.59354678058587
0.02,2,0.588215881200566,2.89355591391198
0,2.5,0.555001224662525,2.43067561952315
0,2.9,0.519891831496896,2.09491136437311
0,2.3,0.492622170835982,1.8399415605518
0.75,1.6,0.479825604550703,1.64106585071848
7.32,1.8,4.23441066481058,1.65304305227567
