Year,Month,R_re,R_si
1982,1,16.8045489427377,13.5892373920637
1982,2,74.9502883634276,72.8907934399446
1982,3,113.793312650065,128.468669694762
1982,4,83.646670320423,91.1860219515394
1982,5,161.789127780539,180.808922991415
1982,6,318.598509674327,361.549047535672
1982,7,63.3096210024876,51.2730923901731
1982,8,44.4100847301049,28.7122877267773
1982,9,32.9292974925925,19.8024675436169
1982,10,50.3759690227579,31.5453613307312
1982,11,83.1052073681041,80.134768471113
1982,12,42.5142355101099,40.4472053850951
1983,1,68.980111765546,69.2609888768632
1983,2,99.6326583313068,109.619637957433
1983,3,192.521087114125,225.314966960642
1983,4,179.414989904289,199.026594695214
1983,5,162.545190649501,165.949019407498
1983,6,189.527659491263,195.123596404866
1983,7,46.3579678983399,33.7720662171933
1983,8,22.9968317344457,11.5634530487691
1983,9,39.4422978275653,22.7426342842421
1983,10,20.5024015699538,14.1654977898185
1983,11,7.20188652459052,4.72554178704909
1983,12,6.23838715752917,3.58558395128009
1984,1,11.2845307203223,5.47152621928702
1984,2,25.8597488418028,16.8954026893068
1984,3,50.2746931897742,49.7378815996026
1984,4,41.7461909853663,47.1333988041988
1984,5,125.321411174291,137.671265949543
1984,6,211.724894578283,273.024047001874
1984,7,51.8934485785581,47.186477911526
1984,8,26.9820868261385,18.2090730192846
1984,9,59.3320436713118,47.6519148844642
1984,10,29.8486736728829,23.4569905097
1984,11,17.9330002147277,12.9231286265889
1984,12,12.5973819731028,8.34467743581229
1985,1,15.4710397104624,10.1145603580935
1985,2,74.499342945598,73.0244847241339
1985,3,119.831210329339,146.578077745465
1985,4,83.9519356312144,98.6362346512337
1985,5,60.2600224715804,58.1361255096342
1985,6,74.5951895989123,73.4343381331393
1985,7,63.2729200846328,56.4884794527244
1985,8,50.9416445185531,45.7703189584027
1985,9,73.1719244220428,68.901420555991
1985,10,27.1763585087235,24.7505226816861
1985,11,15.081930049128,10.176347852844
1985,12,18.7912320899975,12.8131718674556
